Abrupt;Nagły;-;11-10-2022;0;0;0
Acidic;Kawśny;-;11-10-2022;0;0;0
Gentle;Delikatny;-;11-10-2022;0;0;0
Homely;Przytulny;-;11-10-2022;0;0;0
Hollow;Pusty;-;11-10-2022;0;0;0
Lethal;Śmiertelny;-;11-10-2022;0;0;0
Relieved;Odciążony;-;11-10-2022;0;0;0
Perfect;Idealny / perfekcyjny;-;11-10-2022;0;0;0
Nasty;Paskudny;-;11-10-2022;0;0;0
Skinny;Chudy;-;11-10-2022;0;0;0
Risky;Ryzykowny;-;11-10-2022;0;0;0
Emerging;Wyłaniający się;-;11-10-2022;0;0;0
Prominent;Znaczący;-;11-10-2022;0;0;0
Gorgeous;Wspaniały;-;11-10-2022;0;0;0
Disabled;Niepełnosprawny;-;11-10-2022;0;0;0
Intricate;Zawiły;-;11-10-2022;0;0;0
Unique;Unikalny;-;11-10-2022;0;0;0
Rigid;Sztywny;-;11-10-2022;0;0;0
Equal;Równy;-;11-10-2022;0;0;0
Former;Poprzedni;-;11-10-2022;0;0;0
Old;Stary;-;11-10-2022;0;0;0
Adorable;Cudowny / godny podziwu;-;11-10-2022;0;0;0
Regardless;Niedbały;-;11-10-2022;0;0;0
Contrary;Przeciwny;-;11-10-2022;0;0;0
Plenty;Mnóstwo;-;11-10-2022;0;0;0
Sufficient;Wystarczający;-;11-10-2022;0;0;0
Preparation;Przygotowania;-;11-10-2022;0;0;0
Ingredient;Składnik;-;11-10-2022;0;0;0